,Taxon_ID,Species_name_IUCN,Species_name,Common_name,Redlist_category,Threatened,Population_trend,Decreasing,Body_mass,Bill_length,Range_size,Elevation_min,Elevation_max,Elevation_range,Human_footprint,Migratory_status,Migratory_score,Forest_depend_status,Forest_depend_score,Hermit,Body_mass_log,Bill_length_log,Range_size_log
190,22688024,Chalcostigma_ruficeps,Chalcostigma_ruficeps,Rufous-capped Thornbill,Least Concern,0,Stable,0,3.4,15.96,123504.1,1400,3800,2400,20.81528631,Not a Migrant,0,High,1,0,1.223775432,2.770085592,11.72402963
191,22688027,Chalcostigma_olivaceum,Chalcostigma_olivaceum,Olivaceous Thornbill,Least Concern,0,Stable,0,8.5,15.28,65216.2,3500,4700,1200,22.6075145,Not a Migrant,0,Low,0,0,2.140066163,2.726544784,11.08546318
192,22688030,Chalcostigma_stanleyi,Chalcostigma_stanleyi,Blue-mantled Thornbill,Least Concern,0,Decreasing,1,5.8,13.9,120425.3,2200,4500,2300,20.93113102,Altitudinal Migrant,1,Low,0,0,1.757857918,2.63188884,11.69878492
193,22688033,Chalcostigma_heteropogon,Chalcostigma_heteropogon,Bronze-tailed Thornbill,Least Concern,0,Decreasing,1,6.1,15.85,29040.9,2800,3900,1100,31.98871918,Not a Migrant,0,Low,0,0,1.808288771,2.7631695,10.27646046
194,22688036,Chalcostigma_herrani,Chalcostigma_herrani,Rainbow-bearded Thornbill,Least Concern,0,Decreasing,1,5.8,16.51,75957.4,2450,4000,1550,26.54719581,Not a Migrant,0,Low,0,0,1.757857918,2.803966258,11.23792794
195,22688046,Opisthoprora_euryptera,Opisthoprora_euryptera,Mountain Avocetbill,Least Concern,0,Stable,0,5.76,16.45,26992.2,2600,3600,1000,23.96509731,Not a Migrant,0,Medium,0,0,1.750937475,2.800325477,10.20330321
196,22688049,Taphrolesbia_griseiventris,Taphrolesbia_griseiventris,Grey-bellied Comet,Endangered,1,Decreasing,1,8.94,22.75,4114.5,2750,3200,450,23.91152611,Not a Migrant,0,Non-forest,0,0,2.190535589,3.124565145,8.322272599
197,22688059,Aglaiocercus_coelestis,Aglaiocercus_coelestis,Violet-tailed Sylph,Least Concern,0,Stable,0,5.61,19.2,28059.9,800,2300,1500,26.83298089,Not a Migrant,0,Medium,0,0,1.72455072,2.954910279,10.24209679
198,22688111,Heliothryx_auritus,Heliothryx_auritus,Black-eared Fairy,Least Concern,0,Decreasing,1,5.4,24.08,6893426.3,0,1300,1300,11.58742017,Not a Migrant,0,High,1,0,1.686398954,3.18138162,15.74607881
199,22688119,Heliactin_bilophus,Heliactin_bilophus,Horned Sungem,Least Concern,0,Increasing,0,4.4,19.3,3875515.1,0,1000,1000,20.78951278,Full Migrant,1,Medium,0,0,1.481604541,2.960105096,15.17018914
200,22688130,Loddigesia_mirabilis,Loddigesia_mirabilis,Marvelous Spatuletail,Endangered,1,Decreasing,1,3,19.53,1772.9,2000,2900,900,16.5323844,Not a Migrant,0,Medium,0,0,1.098612289,2.971951745,7.480371903
201,22688135,Heliomaster_constantii,Heliomaster_constantii,Plain-capped Starthroat,Least Concern,0,Stable,0,7.3,35.43,553813.6,0,1500,1500,31.02498452,Not a Migrant,0,Medium,0,0,1.987874348,3.567558919,13.22458345
202,22688141,Heliomaster_squamosus,Heliomaster_squamosus,Stripe-breasted Starthroat,Least Concern,0,Stable,0,5.9,32.5,1519239.7,0,800,800,28.47497064,Not a Migrant,0,Medium,0,0,1.774952351,3.481240089,14.23372057
203,22688147,Rhodopis_vesper,Rhodopis_vesper,Oasis Hummingbird,Least Concern,0,Stable,0,3.8,34.95,305657,0,3800,3800,18.59759592,Not a Migrant,0,Non-forest,0,0,1.335001067,3.553918469,12.63021884
204,22688150,Thaumastura_cora,Thaumastura_cora,Peruvian Sheartail,Least Concern,0,Stable,0,1.9,16.33,172139.3,0,2800,2800,21.65303051,Not a Migrant,0,Non-forest,0,0,0.641853886,2.793003907,12.05605931
205,22688153,Calliphlox_bryantae,Calliphlox_bryantae,Magenta-throated Woodstar,Least Concern,0,Stable,0,3.3,18.8,9185.3,700,1850,1150,37.22006766,Not a Migrant,0,Medium,0,0,1.193922468,2.93385687,9.125359659
206,22688163,Calliphlox_mitchellii,Calliphlox_mitchellii,Purple-throated Woodstar,Least Concern,0,Stable,0,3.1,16.93,59801.8,800,2400,1600,28.20710301,Altitudinal Migrant,1,High,1,0,1.131402111,2.829087196,10.99879104
207,22688172,Doricha_enicura,Doricha_enicura,Slender Sheartail,Least Concern,0,Decreasing,1,2.4,22.05,78586.4,1000,3000,2000,37.08707386,Not a Migrant,0,Medium,0,0,0.875468737,3.093312602,11.27195394
208,22688175,Doricha_eliza,Doricha_eliza,Mexican Sheartail,Near Threatened,0,Decreasing,1,2.5,23.1,2908.7,0,300,300,35.03660277,Not a Migrant,0,Low,0,0,0.916290732,3.139832618,7.975461525
209,22688178,Tilmatura_dupontii,Tilmatura_dupontii,Sparkling-tailed Woodstar,Least Concern,0,Stable,0,2.2,15.6,299179.8,500,2500,2000,33.21460502,Not a Migrant,0,High,1,0,0.78845736,2.747270914,12.60880001
210,22688182,Microstilbon_burmeisteri,Microstilbon_burmeisteri,Slender-tailed Woodstar,Least Concern,0,Stable,0,2.5,17.5,109879.1,1600,2000,400,19.44075276,Not a Migrant,0,Low,0,0,0.916290732,2.862200881,11.60713595
211,22688185,Calothorax_lucifer,Calothorax_lucifer,Lucifer Hummingbird,Least Concern,0,Stable,0,3.3,23.1,338097.5,0,2200,2200,24.70612916,Full Migrant,1,Low,0,0,1.193922468,3.139832618,12.73108959
